AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionTypeName
369,1,13,Kuta Beach - Bali,Kuta,Beaches
481,1,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",Beaches
640,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas
650,1,13,Sanur Beach,Sanur,Beaches
673,1,13,Seminyak Beach,Seminyak,Beaches
737,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Religious Sites
748,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Points of Interest & Landmarks
749,1,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",Waterfalls
824,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Religious Sites
841,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Water Parks
877,2,13,Balekambang Beach,Malang District,Beaches
888,2,61,Bromo Tengger Semeru National Park,"Asrikaton - Pakis, Malang 65100 Indonesia",National Parks
897,2,93,Coban Rondo Waterfall,Malang District,Waterfalls
913,2,13,Goa Cina Beach,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia",Beaches
920,2,64,Jodipan Colorful Village,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",Neighborhoods
928,2,82,Khayangan Reflexology & Massage,Malang,Spas
937,2,72,Malang City Square,"Jl. Merdeka Utara, Malang 65119 Indonesia",Points of Interest & Landmarks
947,2,91,Mount Semeru Volcano,Malang Lumajang,Volcanos
949,2,84,Museum Malang Tempo Doeloe,"Jl. Gajahmada no. 2, Malang 65119 Indonesia",Speciality Museums
975,2,63,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia",Nature & Wildlife Areas
1133,3,19,Jomblang Cave,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",Caverns & Caves
1137,3,61,Kalibiru National Park,Kulon Progo,National Parks
1166,3,34,Malioboro Road,Yogyakarta,Flea & Street Markets
1171,3,91,Merapi Volcano,Yogyakarta,Volcanos
1220,3,10,Ramayana Ballet at Prambanan,Sleman,Ballets
1225,3,2,Ratu Boko Temple,Yogyakarta,Ancient Ruins
