UserId,AttractionId,Rating,VisitYear,VisitMonth,VisitMode,VisitModeName,Attraction,AttractionTypeId,AttractionTypeName,AttractionCityName,AttractionCountry,UserContinent,UserCountry
14,640,4,2018,12,4,Friends,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Portugal
14,748,5,2018,12,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,Portugal
16,481,5,2018,4,3,Family,Nusa Dua Beach,13,Beaches,Bali,Indonesia,Asia,Indonesia
16,640,5,2018,4,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
16,748,5,2018,4,3,Family,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Asia,Indonesia
16,824,5,2018,11,5,Solo,Uluwatu Temple,76,Religious Sites,Bali,Indonesia,Asia,Indonesia
16,841,5,2019,6,2,Couples,Waterbom Bali,92,Water Parks,Bali,Indonesia,Asia,Indonesia
20,841,4,2017,3,3,Family,Waterbom Bali,92,Water Parks,Bali,Indonesia,Australia & Oceania,Australia
23,748,5,2018,9,4,Friends,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Africa,South Africa
25,888,5,2020,3,4,Friends,Bromo Tengger Semeru National Park,61,National Parks,Malang,Indonesia,Asia,Indonesia
26,748,5,2019,5,2,Couples,Tegalalang Rice Terrace,72,Points of Interest & Landmarks,Bali,Indonesia,Europe,United Kingdom
27,640,4,2013,4,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Europe,Poland
28,749,5,2018,3,2,Couples,Tegenungan Waterfall,93,Waterfalls,Bali,Indonesia,America,Brazil
29,640,5,2017,12,2,Couples,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
32,640,4,2018,11,3,Family,Sacred Monkey Forest Sanctuary,63,Nature & Wildlife Areas,Bali,Indonesia,Asia,Indonesia
