UserId,user_total_visits,user_avg_rating,user_rating_std,user_distinct_attractions,user_most_common_mode
14,2,4.5,0.7071067811865476,2,4
16,9,4.666666666666667,0.7071067811865475,5,2
20,1,4.0,0.0,1,3
23,1,5.0,0.0,1,4
25,1,5.0,0.0,1,4
26,1,5.0,0.0,1,2
27,1,4.0,0.0,1,2
28,1,5.0,0.0,1,2
29,1,5.0,0.0,1,2
32,1,4.0,0.0,1,3
33,1,4.0,0.0,1,2
34,1,4.0,0.0,1,3
37,1,4.0,0.0,1,2
39,1,4.0,0.0,1,3
42,1,4.0,0.0,1,3
48,1,3.0,0.0,1,2
51,1,5.0,0.0,1,2
52,1,3.0,0.0,1,3
54,1,3.0,0.0,1,2
56,1,1.0,0.0,1,2
57,1,3.0,0.0,1,4
59,2,4.0,1.4142135623730951,2,2
60,1,5.0,0.0,1,2
61,2,5.0,0.0,2,2
65,1,5.0,0.0,1,4
67,2,4.0,1.4142135623730951,2,4
70,1,5.0,0.0,1,2
72,1,5.0,0.0,1,2
79,1,3.0,0.0,1,4
83,1,5.0,0.0,1,4
85,2,5.0,0.0,2,3
90,3,5.0,0.0,3,5
92,2,5.0,0.0,2,5
94,1,5.0,0.0,1,2
97,1,5.0,0.0,1,5
98,1,3.0,0.0,1,2
102,1,3.0,0.0,1,2
103,3,4.666666666666667,0.5773502691896257,3,2
112,1,5.0,0.0,1,3
113,1,4.0,0.0,1,2
116,1,2.0,0.0,1,2
117,1,4.0,0.0,1,2
118,1,5.0,0.0,1,3
119,1,5.0,0.0,1,3
122,1,5.0,0.0,1,2
125,2,4.0,0.0,2,2
129,2,4.5,0.7071067811865476,2,4
131,1,4.0,0.0,1,4
133,1,5.0,0.0,1,3
137,2,4.0,1.4142135623730951,2,2
139,1,5.0,0.0,1,4
142,1,4.0,0.0,1,3
147,3,3.6666666666666665,0.5773502691896258,3,2
149,1,3.0,0.0,1,4
152,1,5.0,0.0,1,2
153,1,3.0,0.0,1,2
154,1,5.0,0.0,1,3
155,1,2.0,0.0,1,4
156,1,4.0,0.0,1,5
157,1,5.0,0.0,1,4
158,1,5.0,0.0,1,3
160,1,3.0,0.0,1,2
162,1,5.0,0.0,1,2
166,1,3.0,0.0,1,2
170,1,2.0,0.0,1,2
176,1,4.0,0.0,1,3
177,1,5.0,0.0,1,2
180,1,5.0,0.0,1,2
182,1,4.0,0.0,1,5
183,3,4.666666666666667,0.5773502691896257,3,4
184,1,5.0,0.0,1,5
185,1,1.0,0.0,1,2
187,1,4.0,0.0,1,4
189,1,3.0,0.0,1,2
190,1,5.0,0.0,1,4
191,1,5.0,0.0,1,2
192,2,3.5,0.7071067811865476,2,2
194,6,4.166666666666667,0.752772652709081,3,4
196,2,3.0,0.0,2,3
199,1,4.0,0.0,1,2
200,1,5.0,0.0,1,3
