,Attraction,AttractionTypeName,AttractionCityName,mean,count
17,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Bali,4.265179076724068,12369
28,Waterbom Bali,Water Parks,Bali,4.645829906234578,6079
23,Tegalalang Rice Terrace,Points of Interest & Landmarks,Bali,4.15810205908684,5585
26,Uluwatu Temple,Religious Sites,Bali,4.217661691542289,3216
22,Tanah Lot Temple,Religious Sites,Bali,4.200437773608505,3198
18,Sanur Beach,Beaches,Bali,3.974402730375427,2930
19,Seminyak Beach,Beaches,Bali,3.8054378531073447,2832
8,Kuta Beach - Bali,Beaches,Bali,3.4100719424460433,2641
24,Tegenungan Waterfall,Waterfalls,Bali,3.894230769230769,2184
14,Nusa Dua Beach,Beaches,Bali,4.271825396825397,2016
11,Merapi Volcano,Volcanos,Yogyakarta,4.054568527918781,1576
10,Malioboro Road,Flea & Street Markets,Yogyakarta,3.807610993657505,946
25,Ullen Sentalu Museum,History Museums,Yogyakarta,4.211688311688311,770
29,Yogyakarta Palace,Historic Sites,Yogyakarta,3.50222882615156,673
1,Bromo Tengger Semeru National Park,National Parks,Malang,4.611548556430447,381
15,Ramayana Ballet at Prambanan,Ballets,Yogyakarta,4.192073170731708,328
27,Water Castle (Tamansari),Points of Interest & Landmarks,Yogyakarta,3.8055555555555554,324
21,Sewu Temple,Ancient Ruins,Yogyakarta,4.139285714285714,280
16,Ratu Boko Temple,Ancient Ruins,Yogyakarta,3.905263157894737,190
5,Jomblang Cave,Caverns & Caves,Yogyakarta,4.503875968992248,129
6,Kalibiru National Park,National Parks,Yogyakarta,3.8173913043478263,115
12,Mount Semeru Volcano,Volcanos,Malang,4.698795180722891,83
9,Malang City Square,Points of Interest & Landmarks,Malang,3.578125,64
2,Coban Rondo Waterfall,Waterfalls,Malang,3.963636363636364,55
3,Goa Cina Beach,Beaches,Malang,4.09433962264151,53
20,Sempu Island,Nature & Wildlife Areas,Malang,4.2075471698113205,53
4,Jodipan Colorful Village,Neighborhoods,Malang,4.3023255813953485,43
0,Balekambang Beach,Beaches,Malang,4.027777777777778,36
13,Museum Malang Tempo Doeloe,Speciality Museums,Malang,4.032258064516129,31
7,Khayangan Reflexology & Massage,Spas,Malang,4.571428571428571,28
