AttractionTypeName,mean,count
Water Parks,4.645829906234578,6079
Spas,4.571428571428571,28
Caverns & Caves,4.503875968992248,129
National Parks,4.42741935483871,496
Neighborhoods,4.3023255813953485,43
Nature & Wildlife Areas,4.2649331830623085,12422
History Museums,4.211688311688311,770
Religious Sites,4.209073900841909,6414
Ballets,4.192073170731708,328
Points of Interest & Landmarks,4.132764105139795,5973
Volcanos,4.086799276672695,1659
Ancient Ruins,4.04468085106383,470
Speciality Museums,4.032258064516129,31
Waterfalls,3.895935685573917,2239
Beaches,3.8448800913589647,10508
Flea & Street Markets,3.807610993657505,946
Historic Sites,3.50222882615156,673
