region,total_visits,pct_of_total
Australia,12683,25.77
South East Asia,9377,19.06
Western Europe,8008,16.27
Northern America,7186,14.6
South Asia,2691,5.47
Central Europe,2118,4.3
Oceania,1462,2.97
Middle East,1190,2.42
East Asia,1034,2.1
Southern Europe,939,1.91
Northern Europe,804,1.63
Southern Africa,606,1.23
Eastern Europe,482,0.98
South America,227,0.46
North Africa,171,0.35
East Africa,65,0.13
Caribbean,52,0.11
Central America,44,0.09
-,28,0.06
West Africa,19,0.04
Central Asia,16,0.03
Central Africa,6,0.01
