attraction,n_ratings,avg_rating
Mount Semeru Volcano,83,4.699
Waterbom Bali,6079,4.646
Bromo Tengger Semeru National Park,381,4.612
Jomblang Cave,129,4.504
Nusa Dua Beach,2016,4.272
Sacred Monkey Forest Sanctuary,12369,4.265
Uluwatu Temple,3216,4.218
Ullen Sentalu Museum,770,4.212
Sempu Island,53,4.208
Tanah Lot Temple,3198,4.2
Ramayana Ballet at Prambanan,328,4.192
Tegalalang Rice Terrace,5585,4.158
Sewu Temple,280,4.139
Goa Cina Beach,53,4.094
Merapi Volcano,1576,4.055
Sanur Beach,2930,3.974
Coban Rondo Waterfall,55,3.964
Ratu Boko Temple,190,3.905
Tegenungan Waterfall,2184,3.894
Kalibiru National Park,115,3.817
Malioboro Road,946,3.808
Water Castle (Tamansari),324,3.806
Seminyak Beach,2832,3.805
Malang City Square,64,3.578
Yogyakarta Palace,673,3.502
Kuta Beach - Bali,2641,3.41
