attraction_type,visit_mode,total_visits,pct_within_type
Ancient Ruins,Couples,161,34.26
Ancient Ruins,Family,124,26.38
Ancient Ruins,Friends,105,22.34
Ancient Ruins,Solo,69,14.68
Ancient Ruins,Business,11,2.34
Ballets,Couples,107,32.62
Ballets,Friends,97,29.57
Ballets,Family,65,19.82
Ballets,Solo,45,13.72
Ballets,Business,14,4.27
Beaches,Couples,4769,45.38
Beaches,Family,2788,26.53
Beaches,Friends,1903,18.11
Beaches,Solo,900,8.56
Beaches,Business,148,1.41
Caverns & Caves,Friends,53,41.09
Caverns & Caves,Couples,37,28.68
Caverns & Caves,Family,17,13.18
Caverns & Caves,Solo,17,13.18
Caverns & Caves,Business,5,3.88
Flea & Street Markets,Couples,285,30.13
Flea & Street Markets,Friends,230,24.31
Flea & Street Markets,Family,221,23.36
Flea & Street Markets,Solo,169,17.86
Flea & Street Markets,Business,41,4.33
Historic Sites,Couples,238,35.36
Historic Sites,Friends,181,26.89
Historic Sites,Family,146,21.69
Historic Sites,Solo,93,13.82
Historic Sites,Business,15,2.23
History Museums,Friends,252,32.73
History Museums,Family,206,26.75
History Museums,Couples,186,24.16
History Museums,Solo,92,11.95
History Museums,Business,34,4.42
National Parks,Friends,202,40.73
National Parks,Family,138,27.82
National Parks,Couples,85,17.14
National Parks,Solo,51,10.28
National Parks,Business,20,4.03
Nature & Wildlife Areas,Couples,6017,48.44
Nature & Wildlife Areas,Family,2925,23.55
Nature & Wildlife Areas,Friends,2302,18.53
Nature & Wildlife Areas,Solo,1125,9.06
Nature & Wildlife Areas,Business,53,0.43
Neighborhoods,Couples,12,27.91
Neighborhoods,Friends,12,27.91
Neighborhoods,Solo,12,27.91
Neighborhoods,Family,6,13.95
Neighborhoods,Business,1,2.33
Points of Interest & Landmarks,Couples,2783,46.59
Points of Interest & Landmarks,Friends,1292,21.63
Points of Interest & Landmarks,Family,1245,20.84
Points of Interest & Landmarks,Solo,609,10.2
Points of Interest & Landmarks,Business,44,0.74
Religious Sites,Couples,2854,44.5
Religious Sites,Family,1629,25.4
Religious Sites,Friends,1403,21.87
Religious Sites,Solo,454,7.08
Religious Sites,Business,74,1.15
Spas,Solo,12,42.86
Spas,Couples,8,28.57
Spas,Friends,6,21.43
Spas,Family,2,7.14
Speciality Museums,Friends,13,41.94
Speciality Museums,Family,9,29.03
Speciality Museums,Couples,5,16.13
Speciality Museums,Solo,3,9.68
Speciality Museums,Business,1,3.23
Volcanos,Friends,588,35.44
Volcanos,Family,412,24.83
Volcanos,Couples,396,23.87
Volcanos,Solo,201,12.12
Volcanos,Business,62,3.74
Water Parks,Family,3719,61.18
Water Parks,Couples,1283,21.11
Water Parks,Friends,954,15.69
Water Parks,Solo,103,1.69
Water Parks,Business,20,0.33
Waterfalls,Couples,1079,48.19
Waterfalls,Family,505,22.55
Waterfalls,Friends,488,21.8
Waterfalls,Solo,149,6.65
Waterfalls,Business,18,0.8
