VisitYear,visit_mode,total_visits,pct_within_year
2013,Couples,1035,35.99
2013,Family,1024,35.61
2013,Friends,565,19.65
2013,Solo,219,7.61
2013,Business,33,1.15
2014,Couples,1669,36.19
2014,Family,1553,33.67
2014,Friends,1004,21.77
2014,Solo,334,7.24
2014,Business,52,1.13
2015,Couples,3342,40.17
2015,Family,2323,27.92
2015,Friends,1842,22.14
2015,Solo,714,8.58
2015,Business,98,1.18
2016,Couples,4862,41.3
2016,Family,3293,27.97
2016,Friends,2482,21.08
2016,Solo,1005,8.54
2016,Business,130,1.1
2017,Couples,3682,42.77
2017,Family,2304,26.77
2017,Friends,1775,20.62
2017,Solo,742,8.62
2017,Business,105,1.22
2018,Couples,3140,45.93
2018,Family,1656,24.22
2018,Friends,1371,20.05
2018,Solo,577,8.44
2018,Business,93,1.36
2019,Couples,2310,42.62
2019,Family,1693,31.24
2019,Friends,912,16.83
2019,Solo,458,8.45
2019,Business,47,0.87
2020,Couples,186,37.88
2020,Family,173,35.23
2020,Friends,92,18.74
2020,Solo,38,7.74
2020,Business,2,0.41
2021,Couples,13,38.24
2021,Family,10,29.41
2021,Friends,9,26.47
2021,Solo,2,5.88
2022,Family,128,53.56
2022,Couples,66,27.62
2022,Friends,29,12.13
2022,Solo,15,6.28
2022,Business,1,0.42
