attraction,total_visits,avg_rating
Sacred Monkey Forest Sanctuary,12369,4.265
Waterbom Bali,6079,4.646
Tegalalang Rice Terrace,5585,4.158
Uluwatu Temple,3216,4.218
Tanah Lot Temple,3198,4.2
Sanur Beach,2930,3.974
Seminyak Beach,2832,3.805
Kuta Beach - Bali,2641,3.41
Tegenungan Waterfall,2184,3.894
Nusa Dua Beach,2016,4.272
Merapi Volcano,1576,4.055
Malioboro Road,946,3.808
Ullen Sentalu Museum,770,4.212
Yogyakarta Palace,673,3.502
Bromo Tengger Semeru National Park,381,4.612
Ramayana Ballet at Prambanan,328,4.192
Water Castle (Tamansari),324,3.806
Sewu Temple,280,4.139
Ratu Boko Temple,190,3.905
Jomblang Cave,129,4.504
Kalibiru National Park,115,3.817
Mount Semeru Volcano,83,4.699
Malang City Square,64,3.578
Coban Rondo Waterfall,55,3.964
Sempu Island,53,4.208
Goa Cina Beach,53,4.094
Jodipan Colorful Village,43,4.302
Balekambang Beach,36,4.028
Museum Malang Tempo Doeloe,31,4.032
Khayangan Reflexology & Massage,28,4.571
